datetime,portfolio_value,cash,positions,return
2022-05-01 10:30:00-04:00,95798.7197265625,95798.7197265625,[],0.0
2022-05-02 10:30:00-04:00,95798.7197265625,95798.7197265625,[],0.0
2022-05-03 10:30:00-04:00,95798.7197265625,95798.7197265625,[],0.0
2022-05-04 10:30:00-04:00,95798.7197265625,95798.7197265625,[],0.0
2022-05-05 10:30:00-04:00,95798.7197265625,95798.7197265625,[],0.0
2022-05-06 10:30:00-04:00,95798.7197265625,95798.7197265625,[],0.0
2022-05-07 10:30:00-04:00,95798.7197265625,95798.7197265625,[],0.0
2022-05-08 10:30:00-04:00,95798.7197265625,95798.7197265625,[],0.0
2022-05-09 10:30:00-04:00,95798.7197265625,95798.7197265625,[],0.0
2022-05-10 10:30:00-04:00,95798.7197265625,95798.7197265625,[],0.0
2022-05-11 10:30:00-04:00,95798.7197265625,95798.7197265625,[],0.0
2022-05-12 10:30:00-04:00,95798.7197265625,95798.7197265625,[],0.0
2022-05-13 10:30:00-04:00,95798.7197265625,95798.7197265625,[],0.0
2022-05-14 10:30:00-04:00,95798.7197265625,95798.7197265625,[],0.0
2022-05-15 10:30:00-04:00,95798.7197265625,95798.7197265625,[],0.0
2022-05-16 10:30:00-04:00,95798.7197265625,95798.7197265625,[],0.0
2022-05-17 10:30:00-04:00,95798.7197265625,95798.7197265625,[],0.0
2022-05-18 10:30:00-04:00,95798.7197265625,95798.7197265625,[],0.0
2022-05-19 10:30:00-04:00,95798.7197265625,95798.7197265625,[],0.0
2022-05-20 10:30:00-04:00,95798.7197265625,95798.7197265625,[],0.0
2022-05-21 10:30:00-04:00,95798.7197265625,95798.7197265625,[],0.0
2022-05-22 10:30:00-04:00,95798.7197265625,95798.7197265625,[],0.0
2022-05-23 10:30:00-04:00,95798.7197265625,95798.7197265625,[],0.0
2022-05-24 10:30:00-04:00,95798.7197265625,95798.7197265625,[],0.0
2022-05-25 10:30:00-04:00,95798.7197265625,95798.7197265625,[],0.0
2022-05-26 10:30:00-04:00,95798.7197265625,95798.7197265625,[],0.0
2022-05-27 10:30:00-04:00,95798.7197265625,95798.7197265625,[],0.0
2022-05-28 10:30:00-04:00,95798.7197265625,95798.7197265625,[],0.0
2022-05-29 10:30:00-04:00,95798.7197265625,95798.7197265625,[],0.0
2022-05-30 10:30:00-04:00,95798.7197265625,95798.7197265625,[],0.0
2022-05-31 10:30:00-04:00,95798.7197265625,95798.7197265625,[],0.0
2022-06-01 10:30:00-04:00,95798.7197265625,95798.7197265625,[],0.0
2022-06-02 10:30:00-04:00,95798.7197265625,95798.7197265625,[],0.0
2022-06-03 10:30:00-04:00,95798.7197265625,28653.83752441406,"[{'asset': SPY, 'quantity': 164.0}]",0.0
2022-06-04 10:30:00-04:00,96287.4365234375,28653.83752441406,"[{'asset': SPY, 'quantity': 164.0}]",0.005101496118841142
2022-06-05 10:30:00-04:00,96287.4365234375,28653.83752441406,"[{'asset': SPY, 'quantity': 164.0}]",0.0
2022-06-06 10:30:00-04:00,96287.4365234375,28653.83752441406,"[{'asset': SPY, 'quantity': 164.0}]",0.0
2022-06-07 10:30:00-04:00,96677.75732421875,28653.83752441406,"[{'asset': SPY, 'quantity': 164.0}]",0.004053704355149623
2022-06-08 10:30:00-04:00,95582.23852539062,28653.83752441406,"[{'asset': SPY, 'quantity': 164.0}]",-0.011331653000122732
2022-06-09 10:30:00-04:00,96538.35632324219,28653.83752441406,"[{'asset': SPY, 'quantity': 164.0}]",0.010003090664146619
2022-06-10 10:30:00-04:00,95785.59692382812,28653.83752441406,"[{'asset': SPY, 'quantity': 164.0}]",-0.0077975162213616
2022-06-11 10:30:00-04:00,93414.15832519531,28653.83752441406,"[{'asset': SPY, 'quantity': 164.0}]",-0.02475777856788486
2022-06-12 10:30:00-04:00,93414.15832519531,28653.83752441406,"[{'asset': SPY, 'quantity': 164.0}]",0.0
2022-06-13 10:30:00-04:00,93414.15832519531,28653.83752441406,"[{'asset': SPY, 'quantity': 164.0}]",0.0
2022-06-14 10:30:00-04:00,90949.23852539062,90949.23852539062,[],-0.02638700432565866
2022-06-15 10:30:00-04:00,90949.23852539062,90949.23852539062,[],0.0
2022-06-16 10:30:00-04:00,90949.23852539062,90949.23852539062,[],0.0
2022-06-17 10:30:00-04:00,90949.23852539062,90949.23852539062,[],0.0
2022-06-18 10:30:00-04:00,90949.23852539062,90949.23852539062,[],0.0
2022-06-19 10:30:00-04:00,90949.23852539062,90949.23852539062,[],0.0
2022-06-20 10:30:00-04:00,90949.23852539062,90949.23852539062,[],0.0
2022-06-21 10:30:00-04:00,90949.23852539062,90949.23852539062,[],0.0
2022-06-22 10:30:00-04:00,90949.23852539062,90949.23852539062,[],0.0
2022-06-23 10:30:00-04:00,90949.23852539062,90949.23852539062,[],0.0
2022-06-24 10:30:00-04:00,90949.23852539062,90949.23852539062,[],0.0
2022-06-25 10:30:00-04:00,90949.23852539062,90949.23852539062,[],0.0
2022-06-26 10:30:00-04:00,90949.23852539062,90949.23852539062,[],0.0
2022-06-27 10:30:00-04:00,90949.23852539062,90949.23852539062,[],0.0
2022-06-28 10:30:00-04:00,90949.23852539062,90949.23852539062,[],0.0
2022-06-29 10:30:00-04:00,90949.23852539062,90949.23852539062,[],0.0
2022-06-30 10:30:00-04:00,90949.23852539062,90949.23852539062,[],0.0
2022-07-01 10:30:00-04:00,90949.23852539062,90949.23852539062,[],0.0
2022-07-02 10:30:00-04:00,90949.23852539062,90949.23852539062,[],0.0
2022-07-03 10:30:00-04:00,90949.23852539062,90949.23852539062,[],0.0
2022-07-04 10:30:00-04:00,90949.23852539062,90949.23852539062,[],0.0
2022-07-05 10:30:00-04:00,90949.23852539062,90949.23852539062,[],0.0
2022-07-06 10:30:00-04:00,90949.23852539062,28177.277709960934,"[{'asset': SPY, 'quantity': 167.0}]",0.0
2022-07-07 10:30:00-04:00,91989.64526367188,91989.64526367188,[],0.011439422200228755
2022-07-08 10:30:00-04:00,91989.64526367188,91989.64526367188,[],0.0
2022-07-09 10:30:00-04:00,91989.64526367188,91989.64526367188,[],0.0
2022-07-10 10:30:00-04:00,91989.64526367188,91989.64526367188,[],0.0
2022-07-11 10:30:00-04:00,91989.64526367188,91989.64526367188,[],0.0
2022-07-12 10:30:00-04:00,91989.64526367188,91989.64526367188,[],0.0
2022-07-13 10:30:00-04:00,91989.64526367188,91989.64526367188,[],0.0
2022-07-14 10:30:00-04:00,91989.64526367188,91989.64526367188,[],0.0
2022-07-15 10:30:00-04:00,91989.64526367188,91989.64526367188,[],0.0
2022-07-16 10:30:00-04:00,91989.64526367188,91989.64526367188,[],0.0
2022-07-17 10:30:00-04:00,91989.64526367188,91989.64526367188,[],0.0
2022-07-18 10:30:00-04:00,91989.64526367188,91989.64526367188,[],0.0
2022-07-19 10:30:00-04:00,91989.64526367188,91989.64526367188,[],0.0
2022-07-20 10:30:00-04:00,91989.64526367188,91989.64526367188,[],0.0
2022-07-21 10:30:00-04:00,91989.64526367188,91989.64526367188,[],0.0
